Designator,Footprint,Quantity,Value,LCSC Part #
A1,LattePanda_Module_H8.0mm_Horizontal,1,LattePanda_Mu,C5163334
"ACFET1, ACFET2, BATFET1",POWERPAK_1212-8,3,SI7617DN-T1-GE3,C727607
"BT1, BT10, BT11, BT12, BT13, BT14, BT15, BT16, BT2, BT3, BT4, BT5, BT6, BT7, BT8, BT9",BAT_BK-18650-CLIP,16,54,C2685232
"C1, C10, C11, C12, C2, C4, C6, C7, C8, C9",402,10,100n,C1525
"C13, C14",402,2,15p,C86285
"C15, C16, C17, C36, C47, C57, C58, C59, C62, C63, C66, C69, C78",402,13,1uF,C52923
"C18, C50",805,2,22uF,C45783
"C19, C40, C41, C60, C82, C84, C_{OUT}1",402,7,10uF,C96446
"C20, C21, C34, C35, C37, C38, C39, C44, C56, C64, C65, C67, C79",402,13,0.1uF,C1581
"C22, C24, C25, C26, C27, C28, C29, C30, C31, C32, C55, C83, C85, C91, C92",402,15,100nF,C100072
"C23, C48, C71",1210,3,47uF,C77101
"C3, C5",402,2,1u,C1525
"C33, C43",CAP-SMD_BD4.0-L4.3-W4.3-FD,2,1uF,C3348
C42,402,1,22pF,C70464
"C45, C46",CAP-SMD_BD5.0-L5.3-W5.3-FD,2,10uF,C30110
C49,CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,1,2.2uF,C62726
C51,402,1,22uF,C3845593
C52,201,1,270pF,C668345
C53,402,1,12nF,C113786
C54,402,1,470nF,C92361
"C61, CIN1",402,2,4.7uF,C6119795
C70,402,1,47pF,C2991692
C72,201,1,82pF,C161397
C73,402,1,100fP,C26409
"C80, C81",402,2,220nF,C268018
CCOMP3,402,1,1.8nF,C5296
CSS1,402,1,3.3nF,C26404
CTTC1,402,1,47nF,C307339
CVCC1,1206,1,1uF,C77096
"D1, D10, D100, D101, D102, D103, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",D_SOD-882,103,Diode,C587155
"D104, D107, D108, D115",SOT-23,4,PESD2USB3UV-TR,C7202955
"D105, D106",D_SOD-323,2,SD05_SOD323,C2687123
"D109, D130",D_SOD-323,2,1N5819WS,C191023
"D110, D118, D123, D124, D125, D129, D131",D_SOD-882,7,ESD5V0B03,C521894
D111,D_SOD-323F,1,BAT54J,C130415
"D112, D113, D114",1206,3,LED,C264322
D116,603,1,LED_G,C5123548
"D119, D120, D121, D122",D_SOD-923,4,ESD9B5.0ST5G,C2682268
"D126, D127, D128",D_SOD-882,3,PESD24VS1UL-N,C406227
F1,805,1,6V/50mA,C207022
"F2, F3",805,2,6V/1A,C80270
J16,AMPHENOL_MDT420E03001,1,MDT420E03001,C599397
J3,HARWIN_S8411-45R,1,S8411-45R,C5199899
J4,AMPHENOL_MDT420B03001,1,Bus_M.2_Socket_B,C4885179
J7,SF72S006VBDR2500_JAE,1,SF72S006VBDR2500,C2977286
"L1, L2, L3, L4",L_Vishay_IHLP-2525,4,6.8uH,C506575
M1,JST_B4B-PH-SM4-TBT_LF__SN_,1,Fan_4pin,C265116
"M2, M3",DQK0006C,2,CSD17571Q2,C962382
"MOSFET2(Q4)1, MOSFET4(Q5)1",POWERPAK_1212-8,2,SIS412DN-T1-GE3,C111309
