Designator,Footprint,Quantity,Value,LCSC Part #
A1,LattePanda_Module_H8.0mm_Horizontal,1,LattePanda_Mu,
"ACFET1, ACFET2, BATFET1",POWERPAK_1212-8,3,SI7617DN-T1-GE3,
"BT1, BT10, BT11, BT12, BT13, BT14, BT15, BT16, BT2, BT3, BT4, BT5, BT6, BT7, BT8, BT9",BAT_BK-18650-CLIP,16,54,
"C1, C10, C11, C12, C2, C4, C6, C7, C8, C9",0402,10,100n,
"C13, C14",0402,2,15p,
"C15, C16, C17, C36, C47, C57, C58, C59, C62, C63, C66, C69, C78",0402,13,1uF,
"C18, C50",0805,2,22uF,
"C19, C40, C41, C60, C82, C84, C_{OUT}1",0402,7,10uF,
"C20, C21, C34, C35, C37, C38, C39, C44, C56, C64, C65, C67, C79",0402,13,0.1uF,
"C22, C24, C25, C26, C27, C28, C29, C30, C31, C32, C55, C83, C85, C91, C92",0402,15,100nF,
"C23, C48, C71",1210,3,47uF,
"C3, C5",0402,2,1u,
"C33, C43",CAP-SMD_BD4.0-L4.3-W4.3-FD,2,1uF,
C42,0402,1,22pF,
"C45, C46",CAP-SMD_BD5.0-L5.3-W5.3-FD,2,10uF,
C49,CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,1,2.2uF,
C51,0402,1,22uF,
C52,0201,1,270pF,
C53,0402,1,12nF,
C54,0402,1,470nF,
"C61, CIN1",0402,2,4.7uF,
C70,0402,1,47pF,
C72,0201,1,82pF,
C73,0402,1,100fP,
"C80, C81",0402,2,220nF,
CCOMP3,0402,1,1.8nF,
CSS1,0402,1,3.3nF,
CTTC1,0402,1,47nF,
CVCC1,1206,1,1uF,
"D1, D10, D100, D101, D102, D103, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",D_SOD-882,103,Diode,
"D104, D107, D108, D115",SOT-23,4,PESD2USB3UV-TR,
"D105, D106",D_SOD-323,2,SD05_SOD323,
"D109, D130",D_SOD-323,2,1N5819WS,
"D110, D118, D123, D124, D125, D129, D131",D_SOD-882,7,ESD5V0B03,
D111,D_SOD-323F,1,BAT54J,
"D112, D113, D114",1206,3,LED,
D116,0603,1,LED_G,
"D119, D120, D121, D122",D_SOD-923,4,ESD9B5.0ST5G,
"D126, D127, D128",D_SOD-882,3,PESD24VS1UL-N,
F1,0805,1,6V/50mA,
"F2, F3",0805,2,6V/1A,
"H5, H6",MountingHole_2.2mm_M2_Pad_TopBottom,2,MountingHole_Pad,
"H8, H9",MountingHole_2.2mm_M2_Pad_TopBottom,2,MountingHole_M2.0,
"J1, J2",PinHeader_1x02_P1.00mm_Vertical,2,Conn_01x02,
J16,AMPHENOL_MDT420E03001,1,MDT420E03001,
J3,HARWIN_S8411-45R,1,S8411-45R,
J4,AMPHENOL_MDT420B03001,1,Bus_M.2_Socket_B,
J5,CONN8_MUSBC_1211x569_AMP,1,USB_A_Stacked,
J6,AMPHENOL_MHDRA111M0,1,HDMI_A,
J7,SF72S006VBDR2500_JAE,1,SF72S006VBDR2500,
J8,AMPHENOL_MUSBRM1C130,1,MUSBRM1C130,
"L1, L2, L3, L4",L_Vishay_IHLP-2525,4,6.8uH,
M1,JST_B4B-PH-SM4-TBT_LF__SN_,1,Fan_4pin,
"M2, M3",DQK0006C,2,CSD17571Q2,
"MOSFET2(Q4)1, MOSFET4(Q5)1",POWERPAK_1212-8,2,SIS412DN-T1-GE3,
"Q10, Q9",PowerPAK_SO-8_Single,2,SI7135DP-T1-GE3,
"Q4, Q8",SOT-23,2,2N7002,
"Q5, Q6, Q7",SOT-23,3,2SK3018,
"R1, R2",0402,2,27.4,
"R10, R101, R103, R45, R53, R9, R94",0402,7,150,
"R100, R14, R28, R64, R86, R96, R99",0402,7,2.2K,
"R102, R104, R32, R47, R68",0402,5,100,
R105,0402,1,1.33k,
"R106, R18, R25",0402,3,1.5k,
R107,0402,1,68.1k,
R108,0402,1,2.4k,
"R109, R4, R41, R5, R52, R62, R7, R70, R85, R92",0402,10,1k,
"R11, R13, R15, R22, R3, R37, R38, R39, R44, R63, R69, R74, R75, RFBT1",0402,14,10k,
"R110, R_{CHG}1",0402,2,220,
"R12, R81, R82",0402,3,15R,
"R16, R40, R49, R51, R54, R56, R66, R76, R77",0402,9,100k,
"R17, R_{DSG}1",0402,2,470,
R21,0402,1,470k,
"R26, R58, R60",0402,3,100R,
R27,0402,1,4.7K,
R31,0402,1,9.09k,
R33,0402,1,430,
R34,0402,1,43k,
R35,0603,1,5.1k,
R36,0402,1,34k,
"R42, R87",0402,2,20k,
"R43, R67",0402,2,2k,
R46,0402,1,560,
"R48, RCOMP4",0402,2,10,
R50,0402,1,2,
R55,0402,1,8.2k,
R57,0402,1,22k,
R6,1206,1,0,
R65,0402,1,68k,
R71,0402,1,200k,
"R72, R73, R78, R79, R83",0402,5,0R,
R8,0402,1,453k,
R80,0402,1,1M,
"R88, R89, R90, R91, R93, R95, R97, R98",0402,8,470R,
RCOMP2,0402,1,200,
RCOMP3,0402,1,27,
RFBB1,0402,1,604,
RFBB2,0402,1,30,
"R_{AC}1, R_{AC}2, R_{SR}1",RESC_WSHM2818R0150FEA,3,0.01,
"R_{GS}1, R_{GS}2",0402,2,4.7M,
R_{SNS}1,0402,1,4m,
"S1, S10, S100, S101, S102, S103, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S3, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S4, S40, S41, S42, S43, S44, S45, S46, S47, S48, S49, S5, S50, S51, S52, S53, S54, S55, S56, S57, S58, S59, S6, S60, S61, S62, S63, S64, S65, S66, S67, S68, S69, S7, S70, S71, S72, S73, S74, S75, S76, S77, S78, S79, S8, S80, S81, S82, S83, S84, S85, S86, S87, S88, S89, S9, S90, S91, S92, S93, S94, S95, S96, S97, S98, S99",Kailh_socket_PG1350_optional,103,Keyswitch,
"S104, S105",SW_TS-1187A-B-A-B,2,TS-1187A-B-A-B,
SW_{HIBERNATEBATTERY}1,SW_CFS-0102MA_NDC-L,1,CFS-0102TA,
TH2,0603,1,103AT,
TH_103AT_1,0603,1,10k@25°C,
"TP14, TP15, TP16, TP18",TestPoint_Pad_1.0x1.0mm,4,TestPoint,
U1,SOIC_128JVSIQ_WIN,1,W25Q128JVS,
U11,YME0004A-MFG,1,CSD85302L,
U12,TSOT-23-6,1,LTC4412ES6#TRMPBF,
U15,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH224K,
U2,QFN56_7X7_RPI,1,SC091413,
U3,PW24_TEX,1,BQ7791500PWR,
"U5, U8",SOT-23-6,2,TPS54302,
U6,Texas_RGE0024H_VQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,1,BQ24617RGER,
U7,DRC0010J,1,TPS40345DRCR,
U9,Diodes_UDFN-10_1.0x2.5mm_P0.5mm,1,CDDFN10-0524P,
X1,ABM8-272-T3_ABR,1,ABM8-272-T3,
