Designator,Mid X,Mid Y,Rotation,Layer
A1,235.625,-252.1,180.0,top
ACFET1,85.7578,-200.47,180.0,top
ACFET2,95.224999,-205.20775,90.0,top
BATFET1,111.175001,-206.80775,90.0,top
BT1,144.5775,-181.15,180.0,top
BT10,198.2575,-160.85,0.0,top
BT11,214.2108,-160.85,180.0,top
BT12,267.7908,-160.85,0.0,top
BT13,283.9192,-160.85,180.0,top
BT14,337.6242,-160.85,0.0,top
BT15,353.5525,-160.85,180.0,top
BT16,407.2575,-160.85,0.0,top
BT2,198.1825,-181.15,0.0,top
BT3,214.2108,-181.15,180.0,top
BT4,267.8908,-181.15,0.0,top
BT5,283.9192,-181.15,180.0,top
BT6,353.5525,-181.15,180.0,top
BT7,337.5242,-181.15,0.0,top
BT8,407.1325,-181.15,0.0,top
BT9,144.5775,-160.85,180.0,top
C1,239.75,-353.33,270.0,top
C10,225.2,-341.45,90.0,top
C11,237.8,-339.5,90.0,top
C12,243.9,-342.5,0.0,top
C13,233.0,-353.5,180.0,top
C14,231.65,-358.2,270.0,top
C15,121.7935,-156.5682,270.0,top
C16,121.7935,-158.4682,270.0,top
C17,124.3935,-160.8782,90.0,top
C18,465.1,-235.7,180.0,top
C19,483.28,-234.75,0.0,top
C2,236.85,-338.8,90.0,top
C20,483.3,-235.75,0.0,top
C21,471.4,-246.75,0.0,top
C22,97.374765,-154.9,180.0,top
C23,88.724765,-157.5,180.0,top
C24,189.77,-216.75,0.0,top
C25,80.1375,-225.85,180.0,top
C26,83.9575,-220.4,180.0,top
C27,83.95,-224.2,180.0,top
C28,83.9375,-223.25,180.0,top
C29,82.0875,-218.7,180.0,top
C3,240.9931,-341.37,90.0,top
C30,80.1875,-217.75,180.0,top
C31,83.9375,-221.35,180.0,top
C32,88.124765,-164.1,270.0,top
C33,90.1895,-213.445,180.0,top
C34,108.1,-206.2,180.0,top
C35,96.45,-215.8,90.0,top
C36,106.4,-210.55,0.0,top
C37,105.67,-215.25,180.0,top
C38,105.68,-214.295,180.0,top
C39,111.65,-210.05,270.0,top
