Name,Value,Category,Description
Cin Pd,975.87 µW,Capacitor,Input capacitor power dissipation
Cout Pd,107.27 µW,Capacitor,Output capacitor power dissipation
Duty Cycle,30.60%,System Information,Duty cycle
Vout p-p,34.25 mV,System Information,Peak-to-peak output ripple voltage
Cin IRMS,481.4 mA,Capacitor,Input capacitor RMS ripple current
Cout IRMS,251.64 mA,Capacitor,Output capacitor RMS ripple current
Efficiency,94.3%,System Information,Steady state efficiency
Frequency,340 kHz,System Information,Switching frequency
IC Tj,42.92 °C,IC,IC junction temperature
ICThetaJA Effective,60 °C/W,IC,Effective IC Junction-to-Ambient Thermal Resistance
L Ipp,871.71 mA,Inductor,Peak-to-peak inductor ripple current
L Pd,85.07 mW,Inductor,Inductor power dissipation
IC Pd,215.39 mW,IC,IC power dissipation
IC Iq Pd,5.33 mW,IC,IC Iq Pd
Pout,5 W,System Information,Total output power
Iin Avg,315.58 mA,IC,Average input current
IC Ipk,1.44 A,IC,Peak switch current in IC
Mode,CCM,System Information,PWM/PFM Mode
FootPrint,129 mm²,System Information,Total Foot Print Area of BOM components
Vout Actual,4.95 V,System Information,Vout Actual calculated based on selected voltage divider resistors
Vout Tolerance,1.78%,System Information,Vout Tolerance based on IC Tolerance (no load) and voltage divider resistors if applicable
Vin,16.8 V,System Information,Vin operating point
Iout,1 A,System Information,Iout operating point
Cin Pd,975.87 µW,Power,Input capacitor power dissipation
Cout Pd,107.27 µW,Power,Output capacitor power dissipation
L Pd,85.07 mW,Power,Inductor power dissipation
IC Pd,215.39 mW,Power,IC power dissipation
Total BOM,$0.93,System Information,Total BOM Cost
Total Pd,301.78 mW,Power,Total Power Dissipation
BOM Count,7 ,System Information,Total Design BOM count
