Type,Timestamp,Goal,Completion
START,2025-01-10 14:09:43,"setup",
END,2025-01-10 15:09:40,,"Complete"
START,2025-01-11 17:12:04,"Keyboard",
END,2025-01-11 17:35:53,,"Incomplete"
START,2025-01-11 17:36:38,"kicad bits",
END,2025-01-11 17:46:45,,"Incomplete"
START,2025-01-12 15:11:25,"kicad bits",
END,2025-01-12 16:34:48,,"Incomplete"
START,2025-01-19 10:13:23,"Keycad Keyboard Layout",
END,2025-01-19 12:35:39,,"Incomplete"
START,2025-01-19 13:28:42,"Kicad Keyboard",
END,2025-01-19 15:31:14,,"Complete"
START,2025-01-20 20:08:47,"BMS schm",
END,2025-01-20 20:38:22,,"Incomplete"
START,2025-01-25 19:17:40,"Kicad MCU Layout",
END,2025-01-25 20:31:00,,"Incomplete"
START,2025-01-27 10:14:12,"Screen Cad work",
END,2025-01-27 12:08:57,,"Incomplete"
START,2025-02-05 13:29:14,"Power/BMS research",
END,2025-02-05 17:47:12,, "Incomplete"
START,2025-02-09 09:13:14,"Change chosen BMS chipset",
END,2025-02-09 13:35:10,,"Incomplete"
START,2025-02-11 14:37:00,"USB C KiCad",
END,2025-02-11 21:20:05,,"Complete"
START,2025-02-18 17:35:04,"power analysis",
END,2025-02-18 19:52:07,,"Complete"
START,2025-02-19 21:24:17,"VRM",
END,2025-02-20 00:50:32,,"Complete"
